, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
0,1,PRT,51,150,45,371.0,105.3,1,0,3,8,5,151,1074,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
178,375,PRT,67,1091,0,59.0,6.0,0,0,1,1,1,1092,1092,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
180,379,PRT,44,1091,2,1086.0,162.0,0,1,11,22,18,189,1084,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
193,403,FRA,38,1089,20,219.0,52.5,0,0,1,3,3,1092,1092,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
195,406,FRA,63,1089,20,219.0,33.0,0,0,1,3,3,1092,1092,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
200,413,ESP,44,1088,5,386.0,30.5,0,0,2,4,4,587,1090,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
248,504,PRT,31,1081,2,59.0,9.0,0,0,1,1,1,1082,1082,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
249,505,PRT,31,1081,2,59.0,9.0,0,0,1,1,1,1082,1082,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
250,506,PRT,27,1081,2,59.0,9.0,0,0,1,1,1,1082,1082,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
291,569,PRT,47,1077,79,355.0,81.0,3,0,7,12,11,785,1078,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
296,574,FRA,38,1076,20,146.0,19.0,0,0,1,2,2,1078,1078,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
297,575,PRT,53,1076,1,1123.0,425.5,1,0,11,11,11,404,1077,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
315,601,PRT,56,1075,7,795.0,1350.0,0,0,8,13,10,113,1077,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
323,613,PRT,51,1074,3,59.0,9.0,0,0,1,1,1,1075,1075,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
324,614,PRT,49,1074,3,59.0,46.0,0,0,1,1,1,1075,1075,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
355,668,PRT,62,1070,4,50.0,30.3,0,0,1,2,1,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
357,670,PRT,45,1070,21,1132.0,181.5,0,0,5,22,10,96,1072,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
359,672,BRA,76,1070,4,50.0,16.5,0,0,1,2,1,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
360,674,PRT,50,1070,4,50.0,14.0,0,0,1,2,1,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
361,675,PRT,37,1070,4,52.0,7.0,0,0,1,1,1,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
362,676,PRT,78,1070,4,52.0,7.0,0,0,1,1,1,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
365,680,PRT,37,1070,4,150.0,42.0,0,0,1,2,1,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
366,683,PRT,6,1070,4,50.0,14.0,0,0,1,2,1,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
368,686,BRA,38,1070,4,52.0,7.0,0,0,1,1,1,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
370,688,BRA,52,1069,33,300.0,128.0,0,0,1,4,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
373,694,ARG,77,1069,33,300.0,84.0,0,0,1,4,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
374,696,BRA,70,1069,33,300.0,93.99,0,0,1,4,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
375,697,ITA,43,1069,33,300.0,96.5,0,0,1,4,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
376,699,ARG,73,1069,33,444.0,126.0,0,0,1,6,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
377,700,ESP,33,1069,33,312.0,42.0,0,0,1,2,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
378,701,BRA,31,1069,33,444.0,126.0,0,0,1,6,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
379,704,BRA,62,1069,33,444.0,133.5,0,0,1,6,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
380,707,ARM,55,1069,33,300.0,90.5,0,0,1,4,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
381,708,BRA,64,1069,33,300.0,86.5,0,0,1,4,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
382,710,BRA,55,1069,32,814.0,233.0,0,0,1,9,3,1072,1072,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
383,713,PRT,58,1069,33,312.0,42.0,0,0,1,2,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
384,714,ARG,56,1069,33,444.0,126.0,0,0,1,6,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
385,717,CHL,77,1069,33,312.0,42.0,0,0,1,2,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
386,718,ARG,54,1069,32,450.0,160.0,0,0,1,6,3,1072,1072,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
387,721,FRA,45,1069,15,73.0,7.0,0,0,1,1,1,1070,1070,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
388,722,FRA,41,1069,15,73.0,7.0,0,0,1,1,1,1070,1070,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
389,723,FRA,51,1069,40,146.0,46.6,0,0,1,2,2,1071,1071,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
394,733,BRA,23,1069,33,300.0,92.5,0,0,1,4,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
396,737,ESP,57,1069,33,0.0,6.0,0,0,1,2,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
397,739,BRA,56,1069,33,300.0,84.0,0,0,1,4,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
398,741,BRA,53,1069,33,300.0,84.0,0,0,1,4,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
399,743,BRA,29,1069,33,300.0,84.0,0,0,1,4,2,1071,1071,Corporate,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
402,749,ITA,51,1068,15,146.0,16.5,0,0,1,2,2,1070,1070,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
