, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
3,8,FRA,32,1095,38,535.0,94.0,0,0,1,10,5,1100,1100,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
9,19,FRA,24,1095,109,174.0,36.0,0,0,1,8,4,1099,1099,Travel Agent/Operator,Travel Agent/Operator,1,0,0,0,0,0,0,1,0,0,0,0,0
16,31,PRT,39,1095,1,1083.5,255.49,0,0,9,18,14,591,1117,Direct,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
18,34,PRT,43,1095,78,180.6,100.5,0,0,1,6,3,1098,1098,Direct,Direct,0,0,0,0,0,0,1,0,0,0,0,0,0
21,43,FRA,53,1095,67,455.7,86.5,0,0,1,10,5,1100,1100,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
23,47,CHN,25,1095,65,202.8,24.0,0,0,1,4,2,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
24,49,RUS,43,1095,80,101.4,21.0,0,0,1,2,1,1096,1096,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0
25,50,POL,53,1095,61,370.0,62.5,0,0,1,8,4,1099,1099,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
27,53,ITA,30,1095,97,116.0,27.0,0,0,1,4,2,1097,1097,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,1,0,0,0,0
29,57,ITA,40,1095,98,147.9,47.6,0,0,1,6,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,1,0,0,0,0,0
30,61,ITA,39,1095,98,147.9,30.6,0,0,1,6,3,1098,1098,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,1,0,0,0,0,0
34,72,FRA,69,1094,72,515.34,292.5,0,0,1,12,6,1100,1100,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0
35,74,FRA,49,1094,72,515.34,301.5,0,0,1,12,6,1100,1100,Direct,Direct,1,0,0,0,0,0,0,1,0,0,0,0,0
36,76,FRA,70,1094,70,321.52,623.1,0,0,1,12,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
37,77,FRA,34,1094,70,875.16,1189.2,0,0,1,8,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
38,78,FRA,28,1094,70,875.16,1201.7,0,0,1,8,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
39,79,FRA,66,1094,70,291.72,749.9,0,0,1,8,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
41,82,ESP,3,1094,103,653.4,759.6,0,0,1,8,4,1098,1098,Direct,Direct,0,0,0,0,0,0,1,1,0,0,0,0,0
42,84,PRT,28,1094,103,770.1,957.9,0,0,1,12,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
43,87,ESP,39,1094,103,256.7,322.3,0,0,1,12,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
44,90,ESP,42,1094,103,653.4,759.6,0,0,1,8,4,1098,1098,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
46,94,ESP,60,1094,58,485.0,101.0,0,0,1,10,5,1099,1099,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0
48,98,ESP,62,1094,58,485.0,134.5,0,0,1,10,5,1099,1099,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,1,0,0,0,0
49,100,CRI,61,1094,86,207.59,57.0,0,0,1,6,3,1097,1097,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
56,112,ESP,56,1094,69,195.6,44.0,0,0,1,4,2,1096,1096,Travel Agent/Operator,Other,1,0,0,0,0,0,0,1,0,0,0,0,0
58,117,FRA,43,1094,1,508.0,346.5,0,0,1,16,4,1098,1098,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,1,0,0,0,0,0
60,123,PRT,41,1094,2,404.5,473.3,0,0,1,9,3,1097,1097,Direct,Direct,0,0,0,0,0,0,1,1,0,0,0,0,0
