, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
0,1,PRT,51,150,45,371.0,105.3,1,0,3,8,5,151,1074,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
16,31,PRT,39,1095,1,1083.5,255.49,0,0,9,18,14,591,1117,Direct,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
180,379,PRT,44,1091,2,1086.0,162.0,0,1,11,22,18,189,1084,Corporate,Corporate,0,0,0,0,0,0,0,0,1,0,0,0,0
236,482,PRT,60,1083,0,335.0,75.0,0,0,3,4,4,551,1084,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
291,569,PRT,47,1077,79,355.0,81.0,3,0,7,12,11,785,1078,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
297,575,PRT,53,1076,1,1123.0,425.5,1,0,11,11,11,404,1077,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
315,601,PRT,56,1075,7,795.0,1350.0,0,0,8,13,10,113,1077,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
337,630,PRT,45,1072,1,0.0,0.0,1,0,2,3,2,720,1073,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
346,647,PRT,80,1072,21,96.0,92.0,0,0,3,8,4,101,1074,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
357,670,PRT,45,1070,21,1132.0,181.5,0,0,5,22,10,96,1072,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
460,844,PRT,47,1065,17,177.0,77.0,0,0,3,3,3,167,1066,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
508,929,ESP,56,1061,3,219.0,32.5,0,2,1,3,3,1064,1064,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
699,1290,AGO,57,1051,8,588.0,86.5,0,0,3,9,5,265,1052,Direct,Direct,0,0,0,0,0,0,0,0,1,0,0,0,0
769,1441,FRA,51,1048,17,705.0,207.5,0,0,5,9,9,382,1049,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
809,1513,PRT,55,1046,4,2101.0,246.85,1,0,7,22,22,642,1050,Travel Agent/Operator,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
972,1761,PRT,33,1041,56,708.0,82.0,0,0,6,6,6,918,1042,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
995,1809,GBR,44,1040,6,237.0,35.0,0,0,4,4,4,601,1040,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
1012,1844,PRT,33,1039,2,1121.0,183.0,0,0,6,17,17,903,1042,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
1186,2141,PRT,58,1033,23,1651.0,197.0,1,0,11,16,14,439,1036,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
1195,2151,PRT,52,1033,9,734.0,283.9,0,0,8,19,10,39,1034,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
1202,2161,PRT,47,1033,20,8493.65,2587.5,3,1,66,75,95,383,1034,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
1213,2172,PRT,41,1032,37,690.0,140.0,0,0,4,7,7,307,1034,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
1247,2220,PRT,67,1032,40,497.0,144.0,0,0,4,8,7,307,1034,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,2328,BEL,54,1030,121,729.9,134.5,0,0,3,17,8,756,1031,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,2414,DZA,43,1030,4,1593.0,744.42,0,0,5,33,21,1029,1035,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
1436,2603,PRT,53,1027,1,354.0,60.0,0,0,4,4,4,938,1028,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
1480,2681,PRT,34,1026,3,1293.0,175.0,1,0,15,16,16,194,1027,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
1548,2795,PRT,54,1025,4,938.0,564.5,0,0,5,10,6,636,1027,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,2843,PRT,36,1024,16,623.0,49.0,0,0,3,3,3,594,1025,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
1756,3015,PRT,34,1020,3,146.0,14.0,1,0,2,2,2,1019,1021,Corporate,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
1797,3057,PRT,39,1019,5,878.0,113.0,0,0,11,11,11,312,1020,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
1822,3083,PRT,38,1019,2,475.0,63.0,0,0,3,5,5,305,1021,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,3339,PRT,55,1014,5,1186.0,134.5,0,0,6,13,13,538,1015,Corporate,Aviation,0,0,0,0,0,0,0,1,0,0,0,0,0
2423,3772,ESP,54,1005,3,304.0,44.0,0,0,3,3,3,592,1006,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
2428,3777,PRT,40,1005,5,2998.0,315.5,2,1,29,33,33,12,1006,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
2468,3821,PRT,46,1004,3,560.0,269.4,0,0,4,7,7,57,1005,Corporate,Corporate,1,0,0,0,0,0,0,1,0,0,1,0,0
3076,4484,PRT,48,992,4,1357.0,159.0,0,0,7,17,17,817,995,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
3122,4536,PRT,40,991,2,222.0,51.0,0,0,3,3,3,243,992,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
3208,4640,PRT,42,990,4,540.0,35.0,0,1,2,5,5,581,994,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
3266,4704,AUT,41,989,1,2409.0,252.15,0,0,4,9,9,539,991,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
3483,4947,DEU,52,984,3,613.5,53.0,0,0,3,5,5,439,986,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
3502,4968,PRT,40,984,4,448.0,71.0,0,0,4,5,5,698,985,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
