antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'HighFloor'}),frozenset({'KingSizeBed'}),0.045587751070135005,0.35214027000329273,0.02569970365492262,0.5637414228963524,1.6009001835861632,0.009646420684242384,1.485036086391459
frozenset({'QuietRoom'}),frozenset({'KingSizeBed'}),0.08980902206124465,0.35214027000329273,0.046081659532433324,0.5131072410632448,1.4571103755286123,0.014456286255054962,1.3306004620226048
frozenset({'HighFloor'}),frozenset({'TwinBed'}),0.045587751070135005,0.13696081659532433,0.007836680935133355,0.17190321415673526,1.255126965726662,0.0015929453218232938,1.0421960308973166
frozenset({'QuietRoom'}),frozenset({'TwinBed'}),0.08980902206124465,0.13696081659532433,0.01452090879157063,0.1616865261228231,1.1805312653804876,0.0022205917924350647,1.0294945868078953
frozenset({'HighFloor'}),frozenset({'QuietRoom'}),0.045587751070135005,0.08980902206124465,0.007309845242015146,0.16034669555796316,1.7854185679542955,0.0032156539004348627,1.0840080937257692
frozenset({'KingSizeBed'}),frozenset({'QuietRoom'}),0.35214027000329273,0.08980902206124465,0.046081659532433324,0.1308616578615176,1.4571103755286121,0.014456286255054962,1.047233718511675
frozenset({'TwinBed'}),frozenset({'QuietRoom'}),0.13696081659532433,0.08980902206124465,0.01452090879157063,0.10602235845654526,1.1805312653804874,0.0022205917924350647,1.0181361766132184
frozenset({'QuietRoom'}),frozenset({'HighFloor'}),0.08980902206124465,0.045587751070135005,0.007309845242015146,0.08139321723189734,1.7854185679542953,0.0032156539004348627,1.0389780119561791
frozenset({'KingSizeBed'}),frozenset({'HighFloor'}),0.35214027000329273,0.045587751070135005,0.02569970365492262,0.07298143905745944,1.6009001835861632,0.009646420684242384,1.0295503123038574
frozenset({'TwinBed'}),frozenset({'HighFloor'}),0.13696081659532433,0.045587751070135005,0.007836680935133355,0.05721841567496093,1.255126965726662,0.0015929453218232938,1.012336541992547
